system,scale,bloom_filter,threads,cache_size,trial,Q1.1,Q1.2,Q1.3,Q2.1,Q2.2,Q2.3,Q3.1,Q3.2,Q3.3,Q3.4,Q4.1,Q4.2,Q4.3
duckdb,1,,1.0,100 MB,1,0.120874,0.116508,0.102713,0.115615,0.0903297,0.07221,0.134355,0.0678881,0.0598297,0.0593702,0.193496,0.198994,0.113036
duckdb,1,,1.0,100 MB,2,0.118851,0.114911,0.101982,0.114054,0.090168,0.0727521,0.134589,0.0679389,0.0601257,0.0595929,0.192926,0.198923,0.11316
duckdb,1,,1.0,100 MB,3,0.119962,0.11626,0.110133,0.113971,0.0899906,0.0722988,0.128281,0.0681699,0.0601406,0.0596956,0.19246,0.198687,0.118895
duckdb,1,,1.0,200 MB,1,0.111601,0.114675,0.102864,0.105454,0.081734,0.0717124,0.132954,0.0674121,0.0600199,0.0592126,0.181792,0.183228,0.0974407
duckdb,1,,1.0,200 MB,2,0.111968,0.114405,0.1023,0.105862,0.0812418,0.0714565,0.132922,0.0674911,0.0599546,0.0590315,0.180767,0.181434,0.0969478
duckdb,1,,1.0,200 MB,3,0.111789,0.114487,0.102208,0.104844,0.0809921,0.0713332,0.132399,0.0674219,0.0597949,0.0589565,0.180821,0.1809,0.0966087
duckdb,1,,1.0,500 MB,1,0.103431,0.112671,0.102905,0.0958587,0.0820622,0.0716088,0.130398,0.0675392,0.0599311,0.0593383,0.179859,0.182034,0.0978406
duckdb,1,,1.0,500 MB,2,0.10378,0.112601,0.102705,0.0954134,0.0818842,0.0714957,0.130307,0.0676457,0.0607225,0.0602357,0.178029,0.18157,0.0967967
duckdb,1,,1.0,500 MB,3,0.103876,0.112895,0.102599,0.0950186,0.0816228,0.0714677,0.129988,0.0677086,0.0597752,0.0594389,0.178188,0.181391,0.0974287
duckdb,1,,1.0,1 GB,1,0.103338,0.112253,0.102741,0.0951934,0.0821336,0.0715112,0.130231,0.0676824,0.0603811,0.0594265,0.178405,0.181938,0.0971988
duckdb,1,,1.0,1 GB,2,0.103224,0.112515,0.102373,0.0947504,0.0815152,0.0721132,0.130361,0.067364,0.0594823,0.0587859,0.177871,0.181006,0.0961096
duckdb,1,,1.0,1 GB,3,0.103179,0.112272,0.102711,0.0957639,0.0820456,0.0716973,0.130615,0.0673072,0.0598091,0.0591625,0.177842,0.181212,0.0965196
duckdb,1,,1.0,2 GB,1,0.103545,0.113025,0.103134,0.0951125,0.0820341,0.0715441,0.13049,0.0675426,0.0599788,0.0594636,0.178929,0.181993,0.0971813
duckdb,1,,1.0,2 GB,2,0.103005,0.112398,0.102683,0.0947299,0.0817332,0.0717728,0.130153,0.0674143,0.0598416,0.0591994,0.17796,0.180801,0.096556
duckdb,1,,1.0,2 GB,3,0.103697,0.113132,0.103292,0.0954733,0.0825292,0.0721047,0.131043,0.067834,0.0600999,0.0593369,0.179151,0.182686,0.0976669
duckdb,1,,1.0,5 GB,1,0.10359,0.11244,0.102631,0.0956646,0.0822838,0.0719194,0.130875,0.0680147,0.0604468,0.0599241,0.179645,0.180968,0.0978879
duckdb,1,,1.0,5 GB,2,0.103257,0.112385,0.102722,0.0954113,0.0820756,0.0713762,0.130213,0.0677155,0.0601295,0.0594302,0.17892,0.182208,0.0972588
duckdb,1,,1.0,5 GB,3,0.103312,0.112056,0.102686,0.098447,0.0817853,0.0714586,0.129526,0.0672196,0.0593995,0.059345,0.17792,0.180717,0.0967776
duckdb,1,,2.0,100 MB,1,0.0741445,0.0615564,0.063668,0.0704179,0.0519121,0.0411192,0.0720862,0.039172,0.0331461,0.0376781,0.117736,0.118345,0.0644885
duckdb,1,,2.0,100 MB,2,0.0750668,0.0608719,0.0642105,0.0681668,0.0523895,0.040613,0.0706406,0.0442486,0.0332862,0.0339148,0.109711,0.117142,0.0624144
duckdb,1,,2.0,100 MB,3,0.073835,0.0659986,0.0565564,0.0687157,0.0611449,0.0396423,0.0719214,0.0373934,0.0330656,0.0426971,0.116588,0.120045,0.0677219
duckdb,1,,2.0,200 MB,1,0.0709092,0.0600567,0.0642234,0.0647928,0.0475532,0.040959,0.0701929,0.0384577,0.032503,0.0338326,0.101461,0.111166,0.0629611
duckdb,1,,2.0,200 MB,2,0.0706131,0.0688412,0.0608782,0.0640482,0.0479097,0.0397881,0.0705524,0.038175,0.0334144,0.0329643,0.108983,0.108557,0.0552141
duckdb,1,,2.0,200 MB,3,0.0701186,0.0650788,0.0610791,0.0637535,0.0475393,0.0462428,0.0703043,0.0377637,0.0333488,0.0329891,0.109825,0.102712,0.0636144
duckdb,1,,2.0,500 MB,1,0.0649131,0.0606249,0.0586528,0.0606038,0.052959,0.0408297,0.0696466,0.0377312,0.0374066,0.0331278,0.102647,0.108912,0.0594117
duckdb,1,,2.0,500 MB,2,0.0663626,0.0618549,0.0639289,0.0560648,0.0477926,0.040364,0.0718538,0.038192,0.0327187,0.0336748,0.10667,0.113956,0.0575984
duckdb,1,,2.0,500 MB,3,0.0647284,0.0603764,0.0631875,0.0585944,0.048389,0.0395309,0.0675941,0.0378699,0.0330526,0.0329944,0.107136,0.113729,0.0559357
duckdb,1,,2.0,1 GB,1,0.0654648,0.0606526,0.0628358,0.0584357,0.0472716,0.0405005,0.0686716,0.0418099,0.0337086,0.033555,0.106328,0.112991,0.0574522
duckdb,1,,2.0,1 GB,2,0.0644139,0.0610019,0.0616822,0.0597781,0.0478026,0.0396146,0.0688442,0.0377617,0.0390527,0.0396358,0.10848,0.105855,0.0581964
duckdb,1,,2.0,1 GB,3,0.0644701,0.0604199,0.0615156,0.0634143,0.0477582,0.0463135,0.0678854,0.0368692,0.0341508,0.0324919,0.107826,0.114496,0.0555439
duckdb,1,,2.0,2 GB,1,0.0648953,0.0595361,0.0586927,0.0628672,0.0475126,0.04515,0.0680231,0.0380837,0.0393661,0.0386281,0.106926,0.113626,0.0574846
duckdb,1,,2.0,2 GB,2,0.0919016,0.0647691,0.0589413,0.0559531,0.0482436,0.0398512,0.068131,0.0371632,0.0394759,0.0381287,0.105366,0.112933,0.05587
duckdb,1,,2.0,2 GB,3,0.0652472,0.060729,0.0623407,0.0612291,0.0474657,0.0396604,0.0705769,0.0400591,0.040393,0.0332522,0.100189,0.113759,0.0570368
duckdb,1,,2.0,5 GB,1,0.0658925,0.0614,0.063728,0.0569324,0.0472744,0.0470839,0.0693434,0.0373332,0.0334142,0.0333683,0.106116,0.114678,0.0618884
